annees,Produit intérieur brut (PIB),Importations de biens et de services,Dépense de consommation finale,ménages,administrations publiques,Formation brute de capital fixe,sociétés et entreprises individuelles non financières,V8,ménages hors entrepreneurs individuels,Exportations de biens et de services,Demande intérieure hors stocks
1950,8.571,4.091,6.716,6.688,6.921,4.575,2.651,5.92,10.118,20.363,6.285
1951,5.656,18.897,6.96,7.149,6.194,9.138,6.22,-0.487,31.392,11.675,7.39
1952,3.132,3.013,4.938,4.416,6.686,1.134,-7.899,20.152,15.043,-2.883,4.193
1953,3.366,-0.052,4.554,4.896,3.469,4.67,2.655,9.437,5.922,-1.67,4.58
1954,5.703,4.18,3.05,3.99,0.094,9.309,3.795,13.095,19.897,8.262,4.357
1955,5.377,6.706,4.881,5.388,3.24,10.817,8.841,11.02,15.168,4.75,6.145
1956,5.048,18.76,7.029,7.034,7.041,7.881,10.392,11.808,0.569,-1.128,7.214
1957,5.619,8.466,4.356,4.855,2.75,9.869,10.68,9.825,8.479,8.628,5.578
1958,2.778,-4.024,0.037,0.307,-0.858,5.108,4.829,2.958,6.506,2.092,1.234
1959,2.77,0.183,2.085,2.261,1.523,4.655,4.125,12.006,0.009,12.362,2.695
1960,7.954,14.007,4.323,4.891,2.368,6.658,8.256,5.745,3.853,17.424,4.877
1961,4.946,7.306,5.684,5.741,6.24,11.567,11.896,11.278,11.159,5.425,7.099
1962,6.856,6.979,7.155,7.349,6.959,6.841,6.706,12.259,2.41,1.268,7.061
1963,6.103,12.808,6.635,7.186,5.493,8.22,6.734,8.972,10.892,8.249,7.022
1964,6.583,15.386,5.507,5.377,6.145,10.323,7.968,14.229,12.079,8.237,6.724
1965,4.839,2.489,3.959,3.742,4.734,5.684,1.676,8.514,11.548,10.621,4.403
1966,5.164,11.238,4.548,4.667,4.732,7.512,8.103,2.961,10.587,6.837,5.33
1967,4.802,9.813,4.821,4.857,5.372,7.37,7.118,7.692,7.612,7.618,5.501
1968,4.544,11.78,4.381,4.479,4.414,5.536,7.122,-2.697,9.447,10.092,4.685
1969,7.094,20.113,6.378,6.488,6.122,7.612,11.035,2.25,6.092,15.097,6.699
1970,6.2,7.298,4.765,4.513,5.363,5.432,4.148,4.737,7.736,15.87,4.926
1971,5.293,7.099,5.779,5.636,6.277,6.714,8.752,1.861,6.992,9.403,6.016
1972,4.514,14.514,5.01,5.243,4.673,5.769,6.099,1.047,7.563,10.874,5.201
1973,6.195,14.963,5.735,5.459,6.61,6.789,6.265,2.621,9.324,12.15,6.011
1974,4.415,5.711,3.498,3.139,4.822,2.269,0.089,1.667,5.576,11.403,3.143
1975,-0.946,-8.861,2.988,2.217,5.483,-5.095,-7.962,5.929,-7.283,-3.124,0.733
1976,4.338,18.22,5.04,5.517,4.078,2.278,4.538,1.71,-0.422,8.386,4.312
1977,3.554,1.751,2.8,2.715,3.156,-0.691,0.975,-6.41,-0.434,7.755,1.891
1978,3.949,4.266,4.546,3.879,6.379,2.692,1.525,-0.997,7.093,6.42,4.071
1979,3.695,8.352,3.566,3.7,3.393,2.844,2.96,1.815,2.774,6.497,3.379
1980,1.676,5.269,1.953,1.457,3.137,2.894,5.939,0.311,0.492,2.789,2.189
1981,1.188,-1.174,2.482,2.405,2.85,-1.098,-1.258,2.081,-3.302,4.814,1.602
1982,2.443,3.611,3.66,3.436,4.376,-0.849,1.058,2.866,-6.507,-1.456,2.59
1983,1.262,-2.718,1.403,0.881,2.611,-3.376,-3.478,-3.348,-3.709,4.726,0.308
1984,1.609,3.114,1.143,0.764,2.156,-1.147,-0.526,0.094,-4.29,6.815,0.644
1985,1.569,4.744,2.225,2.024,2.91,1.94,3.589,5.526,-4.089,2.101,2.179
1986,2.39,6.718,3.47,3.905,2.607,4.125,5.868,3.246,0.83,-0.703,3.622
1987,2.553,8.086,3.231,3.344,2.782,5.13,6.167,4.673,3.214,2.996,3.643
1988,4.814,8.786,3.523,3.465,3.523,8.57,9.277,10.171,5.437,8.598,4.638
1989,4.405,8.109,2.735,3.263,1.432,7.213,8.309,4.592,7.94,9.89,3.773
1990,2.83,4.944,2.869,2.632,3.245,4.363,5.926,6.762,-1.466,3.568,3.226
1991,1.237,3.135,1.637,0.753,3.658,-0.513,0.228,3.113,-6.778,6.489,1.131
1992,1.516,1.75,1.764,1.08,3.346,-2.094,-2.624,1.256,-4.932,5.872,0.865
1993,-0.359,-3.379,1.36,0.192,3.513,-5.681,-7.19,-3.853,-4.655,0.295,-0.195
1994,2.384,8.767,1.327,1.677,0.399,1.383,2.214,-0.336,3.98,8.108,1.337
1995,2.305,7.039,1.355,1.749,0.212,1.343,2.254,-2.734,1.681,8.629,1.357
1996,1.397,2.297,2.176,2.018,2.259,0.321,-0.226,0.338,0.44,3.982,1.798
1997,2.527,7.775,0.975,0.829,1.378,0.219,0.893,-6.053,3.685,12.818,0.833
1998,3.453,12.16,2.589,4.139,-0.873,6.345,8.657,0.718,4.846,8.586,3.336
1999,3.399,6.706,2.939,3.536,1.487,7.604,8.734,4.276,7.732,5.011,3.881
